campsites,year
"BC(25/04,5050m),IC(5700m),ABC(28/04,6400m),C1(05/05,7000m),C2(15/05,7700m),C3(18/05,8300m),Smt(19/05)",2004
"BC(09/05),C1(13/05,6400m),C1(24/05,7050m),C2(25/05,7800m),C3(26/05,8300m),Smt(27/05)",2005
"BC(08/04,5170m),ABC(17/04,6400m),C1(21/04,7042m),C2(25/04,7800m),C3(01/05,8300m),Smt(29/05)",2005
"BC(10/04),ABC(14/04,6400m),C2(7500m),C3(30/05,8300m),Smt(02/06)",2005
"BC(23/04,5200m),ABC(28/04,6450m),C1(01/05,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2005
"BC(27/04),ABC(02/05,6400m),C1(04/05,7066m),C2(05/05,7700m),C3(28/05,8300m),xxx(29/05)",2005
"BC(03/04,5200m),ABC(10/04,6450m),C1(29/04,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2005
"BC(07/04),ABC(14/04,6300m),C1(17/04,7100m),C2(27/05,7900m),C3(28/05,8300m),Smt(29/05)",2005
"BC(04/04,5200m),ABC(10/04,6400m),C1(15/04,7050m),C2(27/04,7700m),C3(01/06,8300m),Smt(02/06)",2005
"BC(27/04,6400m),ABC(01/05,7000m),C1(06/05,7000m),C2(28/05,7700m),C3(29/05,8300m),Smt(30/05)",2005
"BC(14/04,5100m),ABC(18/04,6300m),C1(22/04,7050m),C2(02/05,7700m),C3(03/05,8300m),Smt(21,30/05,02/06)",2005
"BC(04/04,5200m),ABC(09/04,6350m),C1(17/04,7000m),C2(19/04,7800m),C3(28/04,8300m),Smt(29/05)",2005
"BC(04/04,5200m),ABC(09/04,6350m),C1(24/04,7000m),C2(30/04,7700m),C3(29/05,8300m),Smt(30/05)",2005
"BC(04/04,5200m),ABC(09/04,6350m),C1(17/04,7000m),C2(19/04,7800m),C3(28/05,8300m),Smt(29/05)",2005
"BC(04/04,5200m),ABC(09/04,6350m),C1(17/04,7000m),C2(21/04,7500m),C3(20/05,7900m),C4(8300m),Smt(21/05)",2005
"BC(03/04,5200m),ABC(10/04,6450m,C1(24/04,7000m),C3(19/05,7900m),C4(20/05,8210m),Smt(21/05)",2005
"BC(10/04,5200m),ABC(15/04,6450m),C1(22/04,7100m),C2(02/05,7700m),C3(01/06,8300m),Smt(02/06)",2005
"BC(06/04,5200m),ABC(13/04,6450m),C1(17/04,7100m),C2(23/04,7700m),C3(29/05,8300m),Smt(30/05)",2005
"BC(10/04,5200m),ABC(17/04,6450m),C1(27/04,7100m),C2(02/06,7800m),C3(03/06,8300m),Smt(04/06)",2005
"BC(12/04,5200m),ABC(17/04,6400m),C1(20/04,7100m),C2(19/05,7500m),C3(31/05,8200m),Smt(02/06)",2005
"BC(05/04),ABC(14/04,6400m),C1(27/04,7050m),C2(31/05,7500m),C3(01/06,7900m),C4(02/06,8300m),Smt(03-04/06)",2005
"BC(14/04,5200m),ABC(19/04,6370m),C1(23/04,7100m),C2(18/05,7600m),C3(01/06,8300m),Smt(02/06)",2005
"BC(04/04),ABC(09/04,6400m),C1(25/04,7000m),C2(27/04,7500m),C3(02/06,7800m),C4(03/06,8200m),Smt(04-05/06)",2005
"BC(10/04),ABC918/04,6400m),C1(22/04,7400m),C2(19/05,7800m),C3(20/05,8300m),Smt(21/05)",2005
